,OUR_SUMMARY
1946,"Attack prompts Bush site block
The official re-election site of President George W Bush is blocking visits from overseas users for ""security reasons"". Scott Stanzel, a spokesman for the Bush-Cheney campaign said: ""The measure was taken for security reasons."" He declined to elaborate any further on the blocking policy. The attack made the site unusable for about five hours. The blocking began early on Monday so those outside the US and trying to view the site got a message saying they are not authorised to view it. Many have found that the site can still be viewed by overseas browsers via several alternative net addresses. Ironically one of the working alternatives is for a supposedly more secure version of the site. There are now at least three working alternative domains for the Bush-Cheney campaign that let web users outside the US visit the site. Mike Prettejohn, Netcraft president, speculated that the blocking decision might have been taken to cut costs, and traffic, in the run-up to the election on 2 November. Akamai declined to comment, saying it could not talk about customer websites."
1947,"Sky will activate a spare slot on set-top boxes in January, marketing magazine New Media Age reported. Sky set-top boxes have two slots. Viewers who stay loyal to a particular TV channel could be rewarded by free TV content or freebies from retail partners. One is for the viewer's decryption card, while the other has been dormant until now. Broadcasters aiming content at children could offer smartcards which gives membership to exclusive content and clubs. ""Parents could pre-pay for some content, as a kind of TV pocket money card,"" said Nigel Whalley, managing director of media consultancy Decipher. ""The idea of an intelligent card in boxes offers a lot of possibilities. It will be down to the ingenuity of the content players,"" said Mr Whalley. Viewers could even be rewarded for watching ad breaks, with ideas such as ad bingo being touted by firms keen to make money out of the new market, said Mr Whalley."
1948,"Geared towards online gamers, it is based around little more than a series of all-out gunfights, set in an array of locations all featured in, or hinted at during, the two blockbusting film trilogies. In each section, the task is simply to wipe out enemy troops, seize strategic waypoints and move on to the next planet. It really is no more complicated than that. The Force is strong in Battlefront
The warm reception that has greeted Star Wars: Battlefront is a reflection not of any ingenious innovation in its gameplay, but of its back-to-basics approach and immense nostalgia quotient. The feel of those places is well and truly captured, with both backdrops and characters looking good and very authentic. That said, it is still great fun to pilot a Scout Walker or Speeder Bike, however non user-friendly they prove. It has to be said if the game did not have the boon of being Star Wars, it would not stand up for long. It is worth noting though that on the PlayStation 2, the game's graphics are a curiously long way behind those of the Xbox version. The above-average AI of the enemy sees to that, although given the frenetic environments they operate in, their strategic behaviour does not need to be all that sophisticated. Battlefront's novelty value will doubtless wear off relatively fast, leaving behind a slightly empty one-trick-pony of a game."
1949,"The Chronicles of Riddick: Escape from Butcher Bay was handed the Unsung Hero Game of 2004. Its release was somewhat eclipsed by Doom 3, which was released on the same week. It helped to establish the concept of the first-person shooter. Doom 3 was developed over four years and is thought to have cost around $15m (£8.3m). It was the only title to win twice, winning Ultimate Game of the year and best PC game at the awards, presented by Little Britain star Matt Lucas. It was, however, very well received by gamers and was praised for its storyline which differed from the film released around the same time. The annual awards are voted for by more than 200,000 readers of computer and video games magazines. Games awards like this have grown in importance."
1950,"For anyone bewildered by the choice of gadgets on the market, Stuff and What Hi-Fi? are hosting a best-of gadget show in London this weekend. The event will play host to a large collection of digital music players, from companies such as Creative, Sony and Philips as well as the ubiquitously fashionable iPod from Apple. But he is not for sale and Sony has no commercial plans for the robot. ""He will greet visitors and is flying in from Japan. ""Women will be getting gadgets from husbands and boyfriends as well as buying them for themselves,"" said Mr Irish. Suggestions that it could be a gaming or wireless Christmas are unlikely to come true as MP3 players remain the most popular stocking filler, said Mr Irish. Also on display will be a virtual keyboard which projects itself onto any flat surface. ""Gadgets nowadays are lifestyle products rather than just for geeks."""
1951,"It also plans to develop a ""worldwide entertainment concept"" with the brand, although details are not yet known. In the chronology of home computing, Commodore was one of the pioneers. Commodore finds new lease of life
The once-famous Commodore computer brand could be resurrected after being bought by a US-based digital music distributor. The Commodore 64 sold more than any other single computer system, even to this day. The brand languished somewhat in the 1990s. It had planned to relaunch the brand, following an upsurge of nostalgia for 1980s-era games. The sale of Commodore is expected to be complete in three weeks in a deal worth over £17m."
1952,"Britain now has among the highest number of broadband connections throughout the whole of Europe. The UK total of 5.3 million translates into 7.5 connections per 100 people, compared to 6.7 in Germany and 15.8 in the Netherlands. The standard speed is 512kbps, though faster connections are available. ""This breakthrough led to a dramatic increase in orders as we were suddenly able to satisfy the pent-up demand that existed in many areas,"" said Paul Reynolds, chief executive of BT Wholesale which provides phone lines that other firms re-sell. By the end of September more than 4.2 million phone lines were using so-called Carrier Pre-Section (CPS) services, such as TalkTalk and One.Tel, which route phone calls across non-BT networks from a local exchange. There are now more than 300 different firms offering CPS services and the percentage of people using BT lines for voice calls has shrunk to 55.4%. This was a slight increase on the previous three months. Local Loop Unbundling, (LLU), in which BT rivals install their hardware in exchanges and take over the line to a customer's home or office, is growing steadily. Cable & Wireless and NTL have announced that they are investing millions to start offering LLU services."
1953,"Sales have tripled since launch, outstripping Microsoft's Xbox, said market analysts Chart-Track. The numbers were also boosted by the release of the PS2-only game Grand Theft Auto: San Andreas. ""And with Halo 2 [for Xbox] out next week, it really is a head-to-head contest between them and Xbox."" The original title won universal acclaim in 2001, and sold more than four million copies. The Lord of the Rings: The Return of the King took nearly £10m over its opening weekend, although games titles are four to five times more expensive than cinema tickets. Mr Houlihan added that Sony had done well with the PS2, but it definitely helped that the release of San Andreas coincided with the slimline PS2 hitting the shelves. ""It is obviously very, very encouraging for Sony because Microsoft briefly outsold them last week,"" John Houlihan, editor of Computerandvideogames.com told BBC News. Sony and Microsoft have both reduced console prices recently and are preparing the way for the launches of their next generation consoles in 2005. The run-up to Christmas is a huge battlefield for games consoles and titles. Microsoft's Xbox had been winning the race up until last week in sales."
1954,"As holidaymakers enjoy balmy breezes, their ship's crew is testing prototype versions of the world's first internationally issued biometric ID cards, the seafarer's equivalent of a passport. Seamen sail into biometric future
The luxury cruise liner Crystal Harmony, currently in the Gulf of Mexico, is the unlikely setting for tests of biometric technology. The cards are due to be issued in February next year, in line with the revised UN Convention on Seafarers' Identity Documents of June 2003. She said French, Jordanian and Nigerian nationals would be the first seafarers to get the new ID cards since their countries have already ratified the convention. The convention highlights the importance of access to shore facilities and shore leave as vital elements to a sailor's wellbeing and, therefore, it says, to safer shipping and cleaner oceans. ""By increasing security on the seas as well as border control and protection, the cards will hopefully reduce the number of piracy problems around the world,"" said Ms Musselman. ""It should be a safer environment for seafarers to work in, and will allow people protecting their borders to have confidence that the people getting off the ship are, in fact, seafarers."""
1955,"They will be formally sentenced next year. US duo in first spam conviction
A brother and sister in the US have been convicted of sending hundreds of thousands of unsolicited e-mail messages to AOL subscribers. A ""Fed-Ex refund processor"" was supposed to allow people to earn $75 an hour working from home. Jurors in Virginia recommended that the man, Jeremy Jaynes, serve nine years in prison and that his sister, Jessica DeGroot, be fined $7,500. Another item on sale was an ""internet history eraser"". His sister helped him process credit card payments. ""He's been successful ripping people off all these years,"" AP quoted prosecutor Russell McGuire as saying. But Jaynes' lawyer David Oblon called the nine-year recommended term ""outrageous"" and said his client believed he was innocent."
1956,"US blogger fired by her airline
A US airline attendant suspended over ""inappropriate images"" on her blog - web diary - says she has been fired. Delta has repeatedly declined to elaborate on what it calls ""internal employee matters"". She added she had also hired a Texas-based law firm to initiate legal action for ""wrongful termination, defamation of character and lost future wages."" Ms Simonetti told the BBC News website she had received no warning or further explanation when she was suspended on 25 September. Her story has highlighted concerns amongst the growing blogging community about conflicts of interest, employment law and free speech on personal websites. But some postings contained images of herself in uniform. She removed them as soon as she was informed of her suspension. And on Monday, it negotiated a deal to defer about $135m in debt which was due next year, until 2007. ""I never meant it as something to harm my company and don't understand how they think it did harm them,"" Ms Simonetti said. The airline also said it had agreed the terms of a $600m loan from American Express."
1957,"""We predicted at the beginning of the decade that the digital approach would be taken for granted - but there was a lot of work to do. ""What is fun is to come to the show and see what has been done. It is going even faster than we expected and we are excited about it."" Mr Gates said the PC, like Microsoft's Media Centre, had a central role to play in how people would be making the most out of audio, video and images but it would not be the only device. ""Gaming is becoming more of a social thing and all of the social genres will use this rich communications. ""And if we look at what has been going on with e-mail, instant messaging, blogging, entertainment - if we can make this seamless, we can create something quite phenomenal."" CES features several more key speeches from major technology players, such as Intel and Hewlett Packard, as well as parallel conference sessions on gaming, storage, broadband and the future of digital music. ""People are online and playing together and that really points to the future,"" he said. That trend is predicted to continue with wholesale shipments of consumer technologies expected to grow by 11% again in 2005. Although most of these affected largely US consumers, the technologies highlighted the kind of trends to come."
1958,"The setting for all this rampant criminality is the fictional US state of San Andreas, comprising three major cities: Los Santos, which is a thinly-disguised Los Angeles, San Fierro, aka San Francisco and Las Venturas, a carbon copy of Las Vegas. To make things worse, he is framed for murder the moment he arrives in town, and blackmailed by crooked cops played by Samuel L Jackson and Chris Penn. The streets, and vast swathes of countryside, are by turns gloriously menacing, grungy and preppy. CJ can commandeer any vehicle he stumbles across from a push-bike to a city bus to a plane. Its ability to capture the ambience of the real-world versions of these cities is something to behold, assisted no end by the monumental graphical advances since Vice City. They will pass comments on his appearance and credibility, aspects that the player now has control over. But the gameplay experience in its entirety is overwhelmingly positive. The grim subject matter here hardly lends itself to gags in quite the same way as the cheesy 80s setting of the last game. Clothes, tattoos and haircuts can all be purchased, and funding these habits can be achieved by criminal means or by indulging in mini-games like betting on horses and challenging bar patrons to games of pool. The quality of voice acting and motion capture is simply off-the-chart."
1959,"Users will need to use BT's internet telephony software, known as BT Communicator, and have a microphone and speakers or headset on their PC. The offer will be limited to the first 50,000 people who sign up and there are limitations - the free calls do not include calls to mobiles, non-geographical numbers such as 0870, premium numbers or international numbers. BT is keen to provide extra services to its broadband customers. People wanting to take advantage of the offer will need to be a BT Together fixed-line customer and will have to sign up to broadband online. ""People already using BT Communicator have found it by far the most convenient way of making a call if they are at their PC,"" said Andrew Burke, director of value-added services at BT Retail. ""BT Communicator had a quiet launch in the summer and now BT is waving the flag a bit more for it,"" he added. It currently has 1.3 million broadband subscribers."
1960,"""Somebody had a new thing that would awe you. We are in a different phase now when it comes to technology, argues Mr Donofrio, Industry Week's 2003 Technology Leader of the Year. But what it means for technology companies is that a new idea, method, or device, will have to have a different kind thinking behind it so that people see the value that innovative technology has for them. People will know their lives are just better,"" says Mr Donofrio. Nanotechnologies will play a key part in this kind of pervasive environment in all sorts of ways, through new superconducting materials, to coatings, power, and memory storage. You weren't quite sure that it did anything, you weren't quite sure if you needed it, you weren't quite sure if it had value for it, but it was cool."" ""If I am right about what innovation is, you need to be multidisciplinary and collaborative. To Mr Donofrio, it is a vision innovation that will happen. ""As more and more women or underrepresented minorities succeed into leadership positions, it becomes and imperative for us to constantly look like them."" ""I am confident that the SET [science, engineering and technology] industry is going to be short on skills,"" he says."
1961,"Earlier incarnations, but which had the same core technology, were called Phoenix and Firebird. Firefox is proving popular because, at the moment, it has far fewer security holes than Internet Explorer and has some innovations lacking in Microsoft's program. For instance, Firefox allows the pages of different websites to be arranged as tabs so users can switch easily between them. That figure had remained static for years. In July the IE using population dropped to 94.7% and by the end of October stood at 92.9%. The Mozilla Foundation claims that Firefox has been downloaded almost eight million times and has publicly said it would be happy to garner 10% of the Windows- using, net-browsing population. It blocks pop-ups, has a neat way of finding text on a page and lets you search through the pages you have browsed. A campaign co-ordinated by the Spread Firefox website attempted to raise the $50,000 needed for a full page advert in the New York Times. Ten days in to the campaign 10,000 people had signed up and now about $250,000 has been raised. from alternative browsers such as Opera, Safari, Amaya and even Netscape."
1962,"It also capitalised on the growing popularity of LAN gaming in the PC world - for the first time it became easy to link multiple game consoles together, allowing up to 16 players to battle against each other at the same time. They were really careful to make sure everything worked the way it was supposed to. Claude Errera, editor of fansite Halo.Bungie.Org, said: ""Bungie got everything right. ""It also had a depth to it that made it stand out."" ""It does not feel like a game release any more. When the Xbox launched on November 15 2001 in the US, Halo was one of the launch titles and had an immediate impact on critics and consumers. Halo is considered by many video game pundits to be one of the finest examples of interactive entertainment ever produced and more than 1.5 million people worldwide have pre-ordered the sequel. ""It blew me away the first time someone managed to climb to the top of Halo,"" said Errera, referring to a fan who had created a video of Master Chief scaling the landscape of the graphical world. Somebody told me this was the biggest single release of any product in Microsoft's history. ""We're all just hoping that Bungie has got it right again."""
1963,"Four-Kings hopes the open qualifiers will turn up gamers good enough to beat all comers at the Painkiller game. UK gamers have until 12 November to register their interest in taking part and can sign up via the Four-Kings, Jolt.co.uk and Painkiller tournament websites. Philip Wride, who co-manages the Four-Kings team, said online qualifiers will be held from 16-28 November to find the best eight players of the Painkiller game. Said Mr Bysshe: ""Painkiller is a new game and the opportunity is there for a new player to step up."" The event is being billed as the CPL World Tour and will be arranged around ten separate tournaments at different locations around the world. The CPL has said that it picked a one-on-one game such as Painkiller to make it easier for spectators to follow the action. A total of $50,000 in cash prizes is on offer. The first stop on the world tour will be Istanbul, Turkey from 10-13 February. Counter-Strike, by far the most popular online game, pits teams against each other and can be confusing to follow if those watching are not familiar with the layout of the maps on which it is played. The decision to pick Painkiller was greeted with surprise by many gamers, as it was widely expected that Doom 3 would be chosen as the one-one-one title."
1964,"IBM test results show that Blue Gene/L has managed speeds of 70.72 teraflops. It is announced every six months and is worked out using an officially recognised mathematical speed test called Linpack which measures calculations per second. ""Next year with the final Blue Gene, four times what it is this year, it is going to be a real step up and will be hard to beat,"" said Erich Strohmaier, one of the co-founders of the Top500 list. The defeated Japanese contender, the Earth Simulator, which was listed in third place, losing the top spot it had held since June 2002. It will also cut down on the amount of heat generated by the massive power, a big problem for supercomputers. The Linux-based machine was reported to have reached a top speed of 42.7 trillion calculations per second (teraflops) in October. It is being assembled for the Lawrence Livermore National Laboratory, under the US Department of Energy. It will help scientists work out the safety, security and reliability requirements for the US's nuclear weapons stockpile, without the need for underground nuclear testing. Since the first supercomputer, the Cray-1, was installed at Los Alamos National Laboratory, US, in 1976, computational speed has leaped 500,000 times. Once completed in 2005, Blue Gene/L will be more powerful than its current prototype."
1965,"Land lines were unreliable. He wondered if there might be a way to automatically centralise text messages, and then redistribute them to agencies and people who might be able to help. Text messages aid disaster recovery
Text messaging technology was a valuable communication tool in the aftermath of the tsunami disaster in Asia. Half a world away, in the Caribbean nation of Trinidad and Tobago, Taran Rampersad read Morquendi's messages. Mr Rampersad said: ""Imagine if an aid worker in the field spotted a need for water purification tablets, and had a central place to send a text message to that effect. The idea is to use open-source software - software can be used by anyone without commercial restraint - and a far-flung network of talent to create a system that links those in need with those who can help. ""In every rural community, there's at least one person who has access to a mobile phone, or has a mobile phone, and can receive messages."" ""This is a classic smart mobs situation where you have people self-organizing into a larger enterprise to do things that benefit other people,"" says Paul Saffo, a director at the California-based Institute for the Future. Clark Boyd is technology correspondent for The World, a BBC World Service and WGBH-Boston co-production. It is still very early days for the project, though."
1966,"Some of these ideas have been showcased at the London's Science Museum, as part of its Future Face exhibition. The Surrey team is already working on Jeremiah's next version, that will replace the human face with an underwater and more interactive creature: Finn the fish. ""When he sees children running and laughing and waving at him, he smiles at them. ""Jeremiah is a virtual face that attempts to emulate humans in the way it responds to activity. If you ignore him, he gets angry. And you can also even surprise him."" Experts say a much more natural way to interact with these devices, such as a virtual human, could make it much easier to make the most of all those new gizmos. Imagine a surveillance system that also presents a virtual embodiment of a person on a screen who can react to your behaviour, and perhaps even alert you to new e-mails. ""When we put the surveillance cameras in our centre, a lot of people were very unhappy about the fact that there was a system watching them,"" said Dr Bowden. ""Now if the system can watch your behaviour over time, it can learn this, so it would predict what you are going to do, turn on the lights for you, or, before you even get to the kettle, it could have switched it on."""
1967,"They decided to go their separate ways, and each kept a piece of the franchise. Eidos announced the next CM game, with a new team to develop it from scratch, whilst SI developed the existing code further to be released, with new publishers Sega, under the name Football Manager. Well, Football Manager is the spiritual successor to the CM series, and it has been released earlier than expected. But that does not do justice to the game really. So what does this mean? Once in a team you will be told by the board what they expect of you. That will give you a choice not just of the four main Scottish leagues, but the English Premiership all the way down to the Conference North and South. A game like FM2005 could blind you with statistics. In fact just about every area of the game has been tweaked, and it leads to an ever more immersive experience. Football Manager 2005 out now for the PC and the Mac"
1968,"Musicians 'upbeat' about the net
Musicians are embracing the internet as a way of reaching new fans and selling more music, a survey has found. They ranged from full-time, successful musicians to artists struggling to make a living from their music. Through the Recording Industry Association of America (RIAA), it has pursued an aggressive campaign through the courts to sue people suspected of sharing copyrighted music. Almost all of them used the net for ideas and inspiration, with nine out of 10 going online to promote, advertise and post their music on the web. More than 80% offered free samples online, while two-thirds sold their music via the net. ""Even successful artists don't think the lawsuits will benefit musicians,"" said report author Mary Madden. While most considered file-sharing as illegal, many disagreed with the lawsuits launched against downloaders. ""We always hear the views of successful artists like the Britneys of the world but the less successful artists rarely get represented."" The survey found that musicians were overwhelming positive about the internet, rather than seeing it as just a threat to their livelihood. Many suggested that rather than fighting file-sharing, the music industry needed to recognise the changes it has brought and embrace it."
1969,"Just over 54 million people are hooked up to the net via broadband, up from 34 million a year ago, according to market analysts Nielsen/NetRatings. The ability to browse web pages at high speed, download files such as music or films and play online games is changing what people do in their spare time. The biggest jump was in Italy, where it rose by 120%. The growth has been fuelled by lower prices and a wider choice of always-on, fast-net subscription plans. ""As the number of high-speed surfers grows, websites will need to adapt, update and enhance their content to retain their visitors and encourage new ones."" It said TV companies faced a major long-term threat over the next five years, with broadband predicted to grow from 19% to 37% of households by 2009. ""Twelve months ago high speed internet users made up just over one third of the audience in Europe; now they are more than 50% and we expect this number to keep growing,"" said Gabrielle Prior, Nielsen/NetRatings analyst. The threat to TV was greatest in countries where broadband was on the up, in particular the UK, France and Spain, said the report."
1970,"No one at Lycos was available for comment on latest developments in its controversial anti-spam campaign. Lycos Europe's ""Make love not spam"" campaign was intended as a way for users to fight back against the mountain of junk mail flooding inboxes. People were encouraged to download the screensaver which, when their PC was idle, would then send lots of data to sites that peddle the goods and services mentioned in spam messages. But the plan has proved controversial. But the site hosting the screensaver now displays a pink graphic and the words ""Stay tuned"". Lycos Europe now appears to have put the plan on hold. The downing of the sites could dent Lycos claims that what it is doing does not amount to a distributed denial of service attack. The numerical internet address of the site has also changed. ""Attacking a spammer's website is like poking a grizzly bear sleeping in your back garden with a pointy stick,"" said Graham Cluley, senior technology consultant for Sophos. ""Not only is this screensaver similar in its approach to a potentially illegal distributed denial of service attack, but it also is in danger of turning innocent computer users into vigilantes, who may not be prepared for whatever retaliation the spammers care to dream up."""
1971,"Californian Thomas Slattery filed the suit in the US District Court in San Jose and is seeking damages. ITunes user sues Apple over iPod
A user of Apple's iTunes music service is suing the firm saying it is unfair he can only use an iPod to play songs. ""As a practical matter, the lower courts have been highly sceptical of such claims,"" Prof Gellhorn said. ""Apple has unlawfully bundled, tied, and/or leveraged its monopoly in the market for the sale of legal online digital music recordings to thwart competition in the separate market for portable hard drive digital music players, and vice-versa,"" the lawsuit said. Apple has sold more than six million iPods since the gadget was launched and has an 87% share of the market for portable digital music players, market research firm NPD Group has reported. Mr Slattery called himself an iTunes customer who ""was also forced to purchase an Apple iPod"" if he wanted to take his music with him to listen to. A spokesman for Apple declined to comment."
1972,"MSN Spaces is free to anyone with a Hotmail or MSN Messenger account. Microsoft is trailing behind competitors like Google and AOL, which already offer services which make it easy for people to set up web journals. People will be able to choose a layout for the page, upload images and share photo albums and music playlists. Blogs, short for web logs, have become a popular way for people to talk about their lives and express opinions online. ""This is a simple tool for people to express themselves,"" said MSN's Blake Irving. According to blog analysis firm Technorati, the so-called blogosphere, has doubled every five and a half months for the last 18 months."
1973,"It said that having an always-on, fast connection is changing the way people use the internet. The Demos report looked at the impact of broadband on people's net habits. A quarter of broadband users in Britain regularly upload content and have personal sites, according to a report by UK think-tank Demos. It found that more than half of those with broadband logged on to the web before breakfast. More significantly, argues the report, broadband is encouraging people to take a more active role online. ""Broadband is putting the 'me' in media as it shifts power from institutions and into the hands of the individual,"" said John Craig, co-author of the Demos report. ""From self-diagnosis to online education, broadband creates social innovation that moves the debate beyond simple questions of access and speed."""
1974,"Merriam-Webster said ""blog"" was the word that people have asked to be defined or explained most often over the last 12 months. 'Blog' picked as word of the year
The term ""blog"" has been chosen as the top word of 2004 by a US dictionary publisher. Its list of most looked-up words is drawn up every year and it discounts terms such as swear words, that everyone likes to look up, or those that always cause problems, such as ""affect"" and ""effect"". ""Now we're getting words that derive from it such as 'blogosphere' and so on,"" he said. ""But,"" he added, ""it's a pretty recent thing and in the way that this happens these days it's got established very quickly."" Blogs come in many different forms. During 2004 blogs, or web logs, have become hugely popular and some have started to influence mainstream media. Blogs also proved very useful to both sides in the US election battle because many pundits who maintain their own journals were able to air opinions that would never appear in more mainstream media. According to US research firm Pew Internet & American Life a blog is created every 5.8 seconds. One of the reasons that blogs and regularly updated online journals have become popular is because the software used to put them together make it very easy for people to air their views online."
1975,"New Year's texting breaks record
A mobile phone was as essential to the recent New Year's festivities as a party mood and Auld Lang Syne, if the number of text messages sent is anything to go by. While texting has not quite overtaken the old-fashioned phone call, it is heading that way, said Mike Short, chairman of the MDA. The British love affair with texting shows no signs of abating and the annual total for 2004 is set to exceed 25bn, according to MDA. ""In the case of a New Years Eve party, texting is useful if you are unable to speak or hear because of a noisy background,"" he said. There were also lots of messages sent internationally, where different time zones made traditional calls unfeasible, he said. ""We thought texting might slow down as MMS took off but we have seen no sign of that,"" said Mr Short. Restaurants are using text messages to tell customers about special offers and promotions. For those still wanting to drink and be merry as the long days of winter draw in, the Good Pub Guide offers a service giving the location and address of their nearest recommended pub. Users need to text the word GOODPUB to 85130."
1976,"Far from looking like a mould-breaking handheld, it looks more like Nintendo dug out a mould from a 1980s handheld prototype. The first striking thing about the DS is how retro it looks. The top screen is used to navigate the action while the bottom screen offers a top-down map and the ability to switch weapons. ""We believe the DS will appeal to all ages, both genders and gamers of any skill,"" said David Yarnton, Nintendo Europe's general manager said at the recent press launch for the handheld. The Japanese gaming giant hopes the DS will maintain the firm's pre-eminence in an increasingly-competitive mobile gaming market. It is certainly a unique control method and while it makes aiming more controlled it can be a little disorientating. But will the device prove to be as revolutionary as claimed? It certainly looks impressive on the small machine and plays smoothly even with a group of people. Hardened gamers will have to learn to adapt to a new way of playing while it could prove to be an accessible way in to gaming for novices, Ultimately the success or failure of the device lies in the hands of developers. One thing is for certain."
1977,"It would take a mighty piece of work to feel worthwhile after such annoyances - but luckily, Half-Life 2 is up to the challenge. Whereas the highly impressive Doom III felt like a top-notch theme park thrill-ride, wandering through Half-Life's world truly does feel like being part of a movie. There are puzzles to be solved along the way, pitched at about the right difficulty, but most progress is achieved by force. The bar has been raised, and so far out of sight that you have to sympathise with any game that tries to do anything remotely similar in the near future. The stealth sections are as exhilarating as the open gun battles. So impressive are the physics that you'll find yourself hurling bits of rubbish around and prodding floating corpses just to marvel at the lifelike way they move. And without resorting to the zombies-leaping-out-of-shadows approach of Doom III, it's all incredibly unsettling. But the real downside is the hassle of getting the game to run. Installing it proved a life-draining siege that would test a saint's patience. Half-Life 2 is out now for the PC"
1978,"The Blu-Ray Association said on Thursday that games giants Electronic Arts and Vivendi would both support its DVD format. Blu-ray, backed by 100 firms including Sony, is competing against Toshiba and NEC-backed HD-DVD to be the format of choice for future films and games. The next generation of DVDs will hold high-definition video and sound. ""Gamers, especially those working on PCs, are always focused on more capacity to deliver textures, deeper levels, for delivering higher-resolution playback."" ""The technical requirement for game development today demands more advanced optical-disc technologies,"" said Michael Heilmann, chief technology officer for Vivendi Universal. EA, a leading games developer and publisher, added that the delivery of high-definition games of the future was vital and Blu-ray had the capacity, functionality and interactivity needed for the kinds of projects it was planning. He added: ""The focus for games moving forward on increased immersion. Likewise, consoles rely on single discs, so DVDs that can hold six times more data mean much better, high-resolution games. ""They are thrilled at the advanced capacity to start to build these immersive environments,"" said Mr Doherty. High-definition DVDs will cut down on that need."
1979,"But doubts remain about the new networks ability to ensure files being swapped are ""quality copies"". Like Kazaa these trackers will be held by everyone. In an interview with Novastream web radio, Sloncek said Exeem would combine ideas from the BitTorrent and Kazaa file-sharing systems. One site behind the success of the BitTorrent file-swapping system is producing its own software that avoids the pitfalls of the earlier program. He said that costs of writing the software will be paid for by adverts appearing in the finished version of the program. One of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the BitTorrent system by checking that trackers led to the movies or TV programmes they claimed to. There were no plans for a Linux or Mac version. This, said Sloncek, should make the system less vulnerable to legal action aimed at stopping people swapping pirated movies and music. Users of the Exeem system will be able to rate files being swapped to help stop the spread of fake files, Sloncek told Novastream. ""There is a fundamental tension between distribution and integrity,"" he said."
1980,"Online games play with politics
After bubbling under for some time, online games broke through onto the political arena in 2004. The US presidential election provided a showcase for many, aimed at talking directly to a generation that has grown up with joysticks and gamepads. ""When I started researching political games at the university, about five years ago, I thought it was going to be something that would take decades to happen,"" said Gonzalo Frasca, computer games specialist at the Information Technology University of Copenhagen. Others helped raise the stakes during the Bush/Kerry contest by highlighting a candidate's virtues or his vices. But experts estimate it will still take at least about a decade until this new breed of video gaming communication become a common tool for political campaigns. ""Children learn a lot about the world through play. ""It's up to us to explore what we can learn from ourselves through play and video games."" There is no reason why we adults should stop doing it as we grow up."" Only a few years ago, most politicians did not have a webpage, while now it is almost a must-have. Dr Frasca said: ""Political campaigns will continue to experiment with video games."
1981,"Just over 54 million people are hooked up to the net via broadband, up from 34 million a year ago, according to market analysts Nielsen/NetRatings. Broadband challenges TV viewing
The number of Europeans with broadband has exploded over the past 12 months, with the web eating into TV viewing habits, research suggests. Britain was close behind, with broadband users almost doubling in a year. ""As the number of high-speed surfers grows, websites will need to adapt, update and enhance their content to retain their visitors and encourage new ones."" It said TV companies faced a major long-term threat over the next five years, with broadband predicted to grow from 19% to 37% of households by 2009. A study by analysts Jupiter Research suggested that broadband was challenging television viewing habits. ""Twelve months ago high speed internet users made up just over one third of the audience in Europe; now they are more than 50% and we expect this number to keep growing,"" said Gabrielle Prior, Nielsen/NetRatings analyst. The threat to TV was greatest in countries where broadband was on the up, in particular the UK, France and Spain, said the report."
1982,"No one at Lycos was available for comment on latest developments in its controversial anti-spam campaign. Lycos Europe's ""Make love not spam"" campaign was intended as a way for users to fight back against the mountain of junk mail flooding inboxes. People were encouraged to download the screensaver which, when their PC was idle, would then send lots of data to sites that peddle the goods and services mentioned in spam messages. But the plan has proved controversial. But the site hosting the screensaver now displays a pink graphic and the words ""Stay tuned"". Lycos Europe now appears to have put the plan on hold. The downing of the sites could dent Lycos claims that what it is doing does not amount to a distributed denial of service attack. The numerical internet address of the site has also changed. ""Attacking a spammer's website is like poking a grizzly bear sleeping in your back garden with a pointy stick,"" said Graham Cluley, senior technology consultant for Sophos. ""Not only is this screensaver similar in its approach to a potentially illegal distributed denial of service attack, but it also is in danger of turning innocent computer users into vigilantes, who may not be prepared for whatever retaliation the spammers care to dream up."""
1983,"The game has sold more than five million copies worldwide since it went on sale in mid-November, the company said. Halo 2 has proved popular online, with gamers notching up a record 28 million hours playing the game on Xbox Live. The racing game moved up one spot to first place, nudging GTA: San Andreas down to second place. Halo 2 dropped one place to five, while Half-Life 2 fell to number nine. David Yarnton, Nintendo UK general manager, told a press conference to look out for details in the New Year. The online game turns the stand alone Warcraft games into a persistent world that players can inhabit not just visit
Europe's gamers could be waiting until January to hear when they can get their mitts on Nintendo's handheld device, Nintendo DS, says gamesindustry.biz. Its US launch was on Sunday and it goes on sale in Japan on 2 December."
1984,"Mr Pearson does not have a crystal ball. If technology is going to be increasingly part of clothing, jewellery, and skin, there needs to be some serious thinking about what it means for us as humans, says Baroness Susan Greenfield. It's all part of what's known as a ""pervasive ambient world"", where ""chips are everywhere"". However, this future of highly personal devices, where technology is worn, or even fuses with the body itself, raises ethical questions. At the nanoscale, materials can be ""tuned"" to display unusual properties that can be exploited to build faster, lighter, stronger and more efficient devices and systems. Dressings for wounds can now incorporate nanoparticles with biocidal properties and smart patches are being developed to deliver drugs through the skin. If you are wearing smart make-up, where electronics are controlling the appearance, you don't want people hacking in and writing messages on your forehead."" ""So the gadgets that fill up your handbag, when we integrate those into fabric, we can actually get rid of all that stuff. Yet this technology is already upon us. If our clothing, skin, and ""personal body networks"" do the talking and the monitoring, everywhere we go, we have to think about what that means for our concept of privacy."
